Date,Country Code,WHO Region,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths
2020-03-22,AD,EURO,131.0,133.0,1.0,1.0
2020-03-29,AD,EURO,208.0,341.0,5.0,6.0
2020-04-05,AD,EURO,125.0,466.0,11.0,17.0
2020-04-12,AD,EURO,156.0,622.0,11.0,28.0
2020-04-19,AD,EURO,82.0,704.0,7.0,35.0
2020-04-26,AD,EURO,34.0,738.0,5.0,40.0
2020-05-03,AD,EURO,9.0,747.0,4.0,44.0
2020-05-10,AD,EURO,7.0,754.0,4.0,48.0
2020-05-17,AD,EURO,7.0,761.0,3.0,51.0
2020-06-21,AD,EURO,2.0,855.0,1.0,52.0
2020-08-16,AD,EURO,41.0,997.0,1.0,53.0
2020-10-11,AD,EURO,586.0,2696.0,2.0,55.0
2020-10-18,AD,EURO,681.0,3377.0,4.0,59.0
2020-10-25,AD,EURO,661.0,4038.0,10.0,69.0
2020-11-01,AD,EURO,718.0,4756.0,6.0,75.0
2020-11-22,AD,EURO,482.0,6207.0,1.0,76.0
2020-12-06,AD,EURO,395.0,7005.0,2.0,78.0
2020-12-20,AD,EURO,272.0,7560.0,2.0,80.0
2020-12-27,AD,EURO,246.0,7806.0,3.0,83.0
2021-01-03,AD,EURO,360.0,8166.0,1.0,84.0
2021-01-10,AD,EURO,420.0,8586.0,1.0,85.0
2021-01-17,AD,EURO,452.0,9038.0,6.0,91.0
2021-01-24,AD,EURO,461.0,9499.0,5.0,96.0
2021-01-31,AD,EURO,386.0,9885.0,5.0,101.0
2021-02-07,AD,EURO,321.0,10206.0,4.0,105.0
2021-02-14,AD,EURO,257.0,10463.0,2.0,107.0
2021-02-28,AD,EURO,177.0,10849.0,3.0,110.0
2021-03-07,AD,EURO,170.0,11019.0,2.0,112.0
2021-03-21,AD,EURO,253.0,11481.0,1.0,113.0
2021-03-28,AD,EURO,328.0,11809.0,2.0,115.0
2021-04-04,AD,EURO,365.0,12174.0,2.0,117.0
2021-04-11,AD,EURO,323.0,12497.0,3.0,120.0
2021-04-18,AD,EURO,274.0,12771.0,3.0,123.0
2021-04-25,AD,EURO,253.0,13024.0,1.0,124.0
2021-05-02,AD,EURO,208.0,13232.0,1.0,125.0
2021-05-09,AD,EURO,174.0,13406.0,2.0,127.0
2021-08-01,AD,EURO,180.0,14678.0,1.0,128.0
2021-08-15,AD,EURO,88.0,14924.0,1.0,129.0
2021-08-29,AD,EURO,37.0,15025.0,1.0,130.0
2021-11-28,AD,EURO,626.0,16712.0,1.0,131.0
2021-12-05,AD,EURO,1298.0,18010.0,1.0,132.0
2021-12-12,AD,EURO,1430.0,19440.0,1.0,133.0
2021-12-19,AD,EURO,1109.0,20549.0,1.0,134.0
2021-12-26,AD,EURO,1181.0,21730.0,5.0,139.0
2022-01-02,AD,EURO,2010.0,23740.0,1.0,140.0
2022-01-09,AD,EURO,2668.0,26408.0,1.0,141.0
2022-01-16,AD,EURO,3480.0,29888.0,1.0,142.0
2022-01-23,AD,EURO,3137.0,33025.0,2.0,144.0
2022-01-30,AD,EURO,2531.0,35556.0,1.0,145.0
2022-02-06,AD,EURO,1043.0,36599.0,2.0,147.0
2022-02-13,AD,EURO,541.0,37140.0,1.0,148.0
2022-02-20,AD,EURO,449.0,37589.0,2.0,150.0
2022-02-27,AD,EURO,410.0,37999.0,1.0,151.0
2022-03-13,AD,EURO,360.0,38794.0,1.0,152.0
2022-03-20,AD,EURO,440.0,39234.0,1.0,153.0
2022-08-07,AD,EURO,285.0,45793.0,1.0,154.0
2022-09-11,AD,EURO,86.0,46113.0,1.0,155.0
2022-11-20,AD,EURO,160.0,46824.0,1.0,156.0
