Case ID,Date,Country Code,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths
AD1,2020-03-22,AD,131.0,133.0,1.0,1.0
AD2,2020-03-29,AD,208.0,341.0,5.0,6.0
AD3,2020-04-05,AD,125.0,466.0,11.0,17.0
AD4,2020-04-12,AD,156.0,622.0,11.0,28.0
AD5,2020-04-19,AD,82.0,704.0,7.0,35.0
AD6,2020-04-26,AD,34.0,738.0,5.0,40.0
AD7,2020-05-03,AD,9.0,747.0,4.0,44.0
AD8,2020-05-10,AD,7.0,754.0,4.0,48.0
AD9,2020-05-17,AD,7.0,761.0,3.0,51.0
AD10,2020-06-21,AD,2.0,855.0,1.0,52.0
AD11,2020-08-16,AD,41.0,997.0,1.0,53.0
AD12,2020-10-11,AD,586.0,2696.0,2.0,55.0
AD13,2020-10-18,AD,681.0,3377.0,4.0,59.0
AD14,2020-10-25,AD,661.0,4038.0,10.0,69.0
AD15,2020-11-01,AD,718.0,4756.0,6.0,75.0
AD16,2020-11-22,AD,482.0,6207.0,1.0,76.0
AD17,2020-12-06,AD,395.0,7005.0,2.0,78.0
AD18,2020-12-20,AD,272.0,7560.0,2.0,80.0
AD19,2020-12-27,AD,246.0,7806.0,3.0,83.0
AD20,2021-01-03,AD,360.0,8166.0,1.0,84.0
AD21,2021-01-10,AD,420.0,8586.0,1.0,85.0
AD22,2021-01-17,AD,452.0,9038.0,6.0,91.0
AD23,2021-01-24,AD,461.0,9499.0,5.0,96.0
AD24,2021-01-31,AD,386.0,9885.0,5.0,101.0
AD25,2021-02-07,AD,321.0,10206.0,4.0,105.0
AD26,2021-02-14,AD,257.0,10463.0,2.0,107.0
AD27,2021-02-28,AD,177.0,10849.0,3.0,110.0
AD28,2021-03-07,AD,170.0,11019.0,2.0,112.0
AD29,2021-03-21,AD,253.0,11481.0,1.0,113.0
AD30,2021-03-28,AD,328.0,11809.0,2.0,115.0
AD31,2021-04-04,AD,365.0,12174.0,2.0,117.0
AD32,2021-04-11,AD,323.0,12497.0,3.0,120.0
AD33,2021-04-18,AD,274.0,12771.0,3.0,123.0
AD34,2021-04-25,AD,253.0,13024.0,1.0,124.0
AD35,2021-05-02,AD,208.0,13232.0,1.0,125.0
AD36,2021-05-09,AD,174.0,13406.0,2.0,127.0
AD37,2021-08-01,AD,180.0,14678.0,1.0,128.0
AD38,2021-08-15,AD,88.0,14924.0,1.0,129.0
AD39,2021-08-29,AD,37.0,15025.0,1.0,130.0
AD40,2021-11-28,AD,626.0,16712.0,1.0,131.0
AD41,2021-12-05,AD,1298.0,18010.0,1.0,132.0
AD42,2021-12-12,AD,1430.0,19440.0,1.0,133.0
AD43,2021-12-19,AD,1109.0,20549.0,1.0,134.0
AD44,2021-12-26,AD,1181.0,21730.0,5.0,139.0
AD45,2022-01-02,AD,2010.0,23740.0,1.0,140.0
AD46,2022-01-09,AD,2668.0,26408.0,1.0,141.0
AD47,2022-01-16,AD,3480.0,29888.0,1.0,142.0
AD48,2022-01-23,AD,3137.0,33025.0,2.0,144.0
AD49,2022-01-30,AD,2531.0,35556.0,1.0,145.0
AD50,2022-02-06,AD,1043.0,36599.0,2.0,147.0
AD51,2022-02-13,AD,541.0,37140.0,1.0,148.0
AD52,2022-02-20,AD,449.0,37589.0,2.0,150.0
AD53,2022-02-27,AD,410.0,37999.0,1.0,151.0
AD54,2022-03-13,AD,360.0,38794.0,1.0,152.0
AD55,2022-03-20,AD,440.0,39234.0,1.0,153.0
AD56,2022-08-07,AD,285.0,45793.0,1.0,154.0
AD57,2022-09-11,AD,86.0,46113.0,1.0,155.0
AD58,2022-11-20,AD,160.0,46824.0,1.0,156.0
AD59,2022-12-04,AD,395.0,47219.0,1.0,157.0
AD60,2022-12-11,AD,227.0,47446.0,1.0,158.0
AD61,2023-01-08,AD,30.0,47781.0,1.0,159.0
AE62,2020-03-22,AE,67.0,153.0,2.0,2.0
AE63,2020-04-05,AE,1037.0,1505.0,8.0,10.0
AE64,2020-04-12,AE,2231.0,3736.0,10.0,20.0
AE65,2020-04-19,AE,2566.0,6302.0,17.0,37.0
AE66,2020-04-26,AE,3511.0,9813.0,34.0,71.0
AE67,2020-05-03,AE,3786.0,13599.0,48.0,119.0
AE68,2020-05-10,AE,3818.0,17417.0,66.0,185.0
AE69,2020-05-17,AE,5210.0,22627.0,29.0,214.0
AE70,2020-05-24,AE,6077.0,28704.0,30.0,244.0
AE71,2020-05-31,AE,5192.0,33896.0,18.0,262.0
AE72,2020-06-07,AE,4372.0,38268.0,13.0,275.0
AE73,2020-06-14,AE,3722.0,41990.0,13.0,288.0
AE74,2020-06-21,AE,2543.0,44533.0,13.0,301.0
AE75,2020-06-28,AE,2827.0,47360.0,10.0,311.0
AE76,2020-07-05,AE,3497.0,50857.0,10.0,321.0
AE77,2020-07-12,AE,3596.0,54453.0,10.0,331.0
AE78,2020-07-19,AE,2258.0,56711.0,7.0,338.0
AE79,2020-07-26,AE,1851.0,58562.0,5.0,343.0
AE80,2020-08-02,AE,2198.0,60760.0,8.0,351.0
AE81,2020-08-09,AE,1540.0,62300.0,5.0,356.0
AE82,2020-08-16,AE,1802.0,64102.0,5.0,361.0
AE83,2020-08-23,AE,2515.0,66617.0,11.0,372.0
AE84,2020-08-30,AE,2711.0,69328.0,7.0,379.0
AE85,2020-09-06,AE,4143.0,73471.0,9.0,388.0
AE86,2020-09-13,AE,5378.0,78849.0,11.0,399.0
AE87,2020-09-20,AE,5393.0,84242.0,5.0,404.0
AE88,2020-09-27,AE,6376.0,90618.0,7.0,411.0
AE89,2020-10-04,AE,7142.0,97760.0,15.0,426.0
AE90,2020-10-11,AE,7373.0,105133.0,17.0,443.0
AE91,2020-10-18,AE,9254.0,114387.0,16.0,459.0
AE92,2020-10-25,AE,9377.0,123764.0,16.0,475.0
AE93,2020-11-01,AE,8865.0,132629.0,20.0,495.0
AE94,2020-11-08,AE,8403.0,141032.0,19.0,514.0
AE95,2020-11-15,AE,8103.0,149135.0,14.0,528.0
AE96,2020-11-22,AE,8650.0,157785.0,20.0,548.0
AE97,2020-11-29,AE,8717.0,166502.0,21.0,569.0
AE98,2020-12-06,AE,8774.0,175276.0,20.0,589.0
AE99,2020-12-13,AE,8479.0,183755.0,20.0,609.0
AE100,2020-12-20,AE,8649.0,192404.0,25.0,634.0
AE101,2020-12-27,AE,8488.0,200892.0,21.0,655.0
AE102,2021-01-03,AE,10749.0,211641.0,19.0,674.0
AE103,2021-01-10,AE,16061.0,227702.0,28.0,702.0
AE104,2021-01-17,AE,22106.0,249808.0,38.0,740.0
AE105,2021-01-24,AE,24568.0,274376.0,43.0,783.0
AE106,2021-01-31,AE,26285.0,300661.0,55.0,838.0
AE107,2021-02-07,AE,22741.0,323402.0,76.0,914.0
AE108,2021-02-14,AE,22203.0,345605.0,87.0,1001.0
AE109,2021-02-21,AE,22570.0,368175.0,107.0,1108.0
AE110,2021-02-28,AE,20419.0,388594.0,105.0,1213.0
AE111,2021-03-07,AE,19642.0,408236.0,97.0,1310.0
