Date,Country Code,WHO Region,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths
2020-03-29,AF,EMRO,67.0,91,2.0,2
2020-04-05,AF,EMRO,183.0,274,3.0,5
2020-04-12,AF,EMRO,247.0,521,10.0,15
2020-04-19,AF,EMRO,387.0,908,15.0,30
2020-04-26,AF,EMRO,422.0,1330,13.0,43
2020-05-03,AF,EMRO,841.0,2171,21.0,64
2020-05-10,AF,EMRO,1392.0,3563,41.0,105
2020-05-17,AF,EMRO,2490.0,6053,48.0,153
2020-05-24,AF,EMRO,3813.0,9866,58.0,211
2020-05-31,AF,EMRO,4577.0,14443,37.0,248
2020-06-07,AF,EMRO,5108.0,19551,79.0,327
2020-06-14,AF,EMRO,4551.0,24102,124.0,451
2020-06-21,AF,EMRO,4195.0,28297,97.0,548
2020-06-28,AF,EMRO,2319.0,30616,155.0,703
2020-07-05,AF,EMRO,2056.0,32672,123.0,826
2020-07-12,AF,EMRO,1679.0,34351,149.0,975
2020-07-19,AF,EMRO,938.0,35289,172.0,1147
2020-07-26,AF,EMRO,747.0,36036,99.0,1246
2020-08-02,AF,EMRO,674.0,36710,37.0,1283
2020-08-09,AF,EMRO,305.0,37015,24.0,1307
2020-08-16,AF,EMRO,536.0,37551,63.0,1370
2020-08-23,AF,EMRO,343.0,37894,15.0,1385
2020-08-30,AF,EMRO,249.0,38143,17.0,1402
2020-09-06,AF,EMRO,161.0,38304,7.0,1409
2020-09-13,AF,EMRO,337.0,38641,11.0,1420
2020-09-20,AF,EMRO,278.0,38919,17.0,1437
2020-09-27,AF,EMRO,273.0,39192,16.0,1453
2020-10-04,AF,EMRO,105.0,39297,9.0,1462
2020-10-11,AF,EMRO,406.0,39703,11.0,1473
2020-10-18,AF,EMRO,438.0,40141,15.0,1488
2020-10-25,AF,EMRO,627.0,40768,23.0,1511
2020-11-01,AF,EMRO,657.0,41425,25.0,1536
2020-11-08,AF,EMRO,608.0,42033,20.0,1556
2020-11-15,AF,EMRO,1002.0,43035,49.0,1605
2020-11-22,AF,EMRO,1468.0,44503,70.0,1675
2020-11-29,AF,EMRO,1463.0,45966,77.0,1752
2020-12-06,AF,EMRO,1675.0,47641,113.0,1865
2020-12-13,AF,EMRO,1311.0,48952,95.0,1960
2020-12-20,AF,EMRO,1584.0,50536,94.0,2054
2020-12-27,AF,EMRO,1312.0,51848,104.0,2158
2021-01-03,AF,EMRO,861.0,52709,63.0,2221
2021-01-10,AF,EMRO,780.0,53489,56.0,2277
2021-01-17,AF,EMRO,495.0,53984,62.0,2339
2021-01-24,AF,EMRO,611.0,54595,39.0,2378
2021-01-31,AF,EMRO,428.0,55023,22.0,2400
2021-02-07,AF,EMRO,312.0,55335,10.0,2410
2021-02-14,AF,EMRO,157.0,55492,17.0,2427
2021-02-21,AF,EMRO,112.0,55604,5.0,2432
2021-02-28,AF,EMRO,110.0,55714,11.0,2443
2021-03-07,AF,EMRO,133.0,55847,6.0,2449
2021-03-14,AF,EMRO,138.0,55985,8.0,2457
2021-03-21,AF,EMRO,118.0,56103,6.0,2463
2021-03-28,AF,EMRO,191.0,56294,7.0,2470
2021-04-04,AF,EMRO,382.0,56676,27.0,2497
2021-04-11,AF,EMRO,484.0,57160,24.0,2521
2021-04-18,AF,EMRO,633.0,57793,18.0,2539
2021-04-25,AF,EMRO,1050.0,58843,43.0,2582
2021-05-02,AF,EMRO,1279.0,60122,55.0,2637
2021-05-09,AF,EMRO,1720.0,61842,49.0,2686
2021-05-16,AF,EMRO,1642.0,63484,56.0,2742
2021-05-23,AF,EMRO,2244.0,65728,60.0,2802
2021-05-30,AF,EMRO,5033.0,70761,117.0,2919
2021-06-06,AF,EMRO,8463.0,79224,226.0,3145
2021-06-13,AF,EMRO,10637.0,89861,382.0,3527
2021-06-20,AF,EMRO,12045.0,101906,595.0,4122
2021-06-27,AF,EMRO,12314.0,114220,528.0,4650
2021-07-04,AF,EMRO,10528.0,124748,549.0,5199
2021-07-11,AF,EMRO,8830.0,133578,525.0,5724
2021-07-18,AF,EMRO,7024.0,140602,423.0,6147
2021-07-25,AF,EMRO,3269.0,143871,278.0,6425
2021-08-01,AF,EMRO,3630.0,147501,312.0,6737
2021-08-08,AF,EMRO,2957.0,150458,171.0,6908
2021-08-15,AF,EMRO,1575.0,152033,113.0,7021
2021-08-22,AF,EMRO,478.0,152511,49.0,7070
2021-08-29,AF,EMRO,522.0,153033,39.0,7109
2021-09-05,AF,EMRO,390.0,153423,23.0,7132
2021-09-12,AF,EMRO,567.0,153990,35.0,7167
2021-09-19,AF,EMRO,549.0,154539,32.0,7199
2021-10-03,AF,EMRO,242.0,155141,13.0,7212
2021-10-10,AF,EMRO,203.0,155344,9.0,7221
2021-10-17,AF,EMRO,273.0,155617,17.0,7238
2021-10-24,AF,EMRO,201.0,155818,15.0,7253
2021-10-31,AF,EMRO,270.0,156088,19.0,7272
2021-11-07,AF,EMRO,187.0,156275,12.0,7284
2021-11-14,AF,EMRO,237.0,156512,8.0,7292
2021-11-21,AF,EMRO,352.0,156864,9.0,7301
2021-11-28,AF,EMRO,326.0,157190,7.0,7308
